customer_id,last_name,first_name,middle_name,phone_number,birth_dt,address
10760,Пантелеев,Макар,Александрович,897935,16.10.1997,Люберцы
45933,Толкачева,Амелия,Тимофеевна,852832,11.10.1948,Грозный
46175,Сергеева,Ксения,Захаровна,861185,29.05.1946,Новошахтинск
91618,Михайлова,Кристина,Андреевна,852956,"18.04.1940",Нальчик
105077,Сидоров,Евгений,Дмитриевич,846586,17.03.1961,Абакан
106946,Мартынов,Лев,Данильевич,840652,20.03.1977,Златоуст
113347,Беликова,Вера,Александровна,893237,15.01.1969,Черкесск
161844,Зайцева,Елизавета,Леоновна,879781,"12.02.1960",Зеленодольск
207098,Виноградова,Ева,Давидовна,804417,"06.07.1940",Минеральные Воды
209740,Романов,Арсений,Платонович,895887,21.07.1987,Владикавказ
219455,Самойлов,Ярослав,Владиславович,879407,26.06.1951,Железногорск (Курская область)
252143,Хохлова,Мирослава,Матвеевна,826156,"09.02.1978",Саров
258432,Чернов,Владимир,Романович,856417,12.02.1999,Архангельск
263450,Дроздов,Богдан,Демидович,801496,15.08.1943,Евпатория
269301,Исаев,Эрик,Иванович,886062,13.12.1945,Балашов
271207,Селиванова,Елизавета,Матвеевна,862885,"05.11.2001",Южно-Сахалинск
288916,Зверев,Тимофей,Ростиславович,864328,23.05.1978,Рыбинск
323076,Алексеев,Макар,Артёмович,801799,"01.03.1962",Домодедово
327660,Иванов,Вадим,Львович,889948,"09.01.1978",Сызрань
339581,Панин,Алексей,Владиславович,883332,22.05.1968,Александров
380443,Михайлова,Николь,Кирилловна,851869,20.05.1996,Всеволожск
398880,Широкова,София,Николаевна,854632,"09.02.1961",Михайловск (Ставропольский край)
400916,Соловьева,Кира,Михайловна,839640,23.12.1948,Ессентуки
404164,Ананьев,Демид,Матвеевич,899795,"01.11.1987",Брянск
436078,Овчинникова,Ульяна,Марковна,828072,"30.05.2000",Бугульма
449278,Старостина,Мария,Михайловна,809227,22.01.1972,Стерлитамак
455715,Смирнов,Богдан,Елисеевич,866323,"04.06.1952",Тюмень
517697,Виноградов,Павел,Всеволодович,822866,25.10.1974,Краснодар
553536,Соловьева,Маргарита,Ивановна,810454,20.12.1964,Альметьевск
563853,Игнатьева,Мия,Кирилловна,805606,15.02.1954,Кызыл
581451,Попова,Ульяна,Ивановна,813260,"06.04.1957",Саратов
687924,Михеева,Мария,Всеволодовна,803611,10.09.1979,Коломна
712982,Малинина,Вера,Давидовна,876601,"21.11.1990",Усть-Илимск
816871,Ершова,Алиса,Ильинична,809122,14.02.1986,Дербент
818921,Сидоров,Юрий,Платонович,823911,19.01.1973,Долгопрудный
865084,Давыдова,Ева,Максимовна,836358,"03.01.1959",Челябинск
935381,Иванова,Мария,Савельевна,807237,31.07.1943,Нижний Новгород
948334,Васильев,Владислав,Захарович,861960,"02.02.2003",Чистополь
950760,Тихонов,Никита,Гордеевич,827030,25.02.1953,Рославль
953082,Максимов,Артём,Львович,803373,"04.07.2001",Ярославль
961260,Афанасьев,Виктор,Артёмович,847710,"07.07.1979",Дмитров
972383,Петров,Егор,Дмитриевич,885503,17.05.1983,Вязьма
983084,Федорова,София,Александровна,858695,21.12.1941,Балашов
1034078,Юдина,Анастасия,Алиевна,836997,"03.03.1995",Балаково
1072587,Котов,Игорь,Дмитриевич,893081,27.11.1989,Бор
1082513,Дорофеев,Никита,Матвеевич,852158,"06.01.1958",Тула
1083562,Яшин,Даниил,Маркович,830878,10.04.1996,Нижневартовск
1086528,Герасимов,Дмитрий,Семёнович,811317,18.11.1975,Березники
1089729,Андреев,Станислав,Владиславович,874610,30.09.1974,Волгоград
1097897,Царев,Максим,Маркович,884658,"02.05.1959",Туймазы
